Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_export
Angola,5040000,4260000,4800000,2340000,480000,2460000,3120000,3000000,3240000,3000000,1320000,840000,540000,1020000,360000,300000,300000,240000,360000,420000,240000,480000,480000,360000,540000,660000,660000,540000,540000,1380000,43320000
Bolivia (Plurinational State of),9360000,4440000,5760000,2820000,5040000,5640000,7380000,6660000,5820000,7440000,6360000,4200000,4740000,4380000,5580000,5040000,5580000,5040000,4080000,4980000,4680000,4440000,3780000,3300000,3720000,1800000,1320000,1560000,1320000,1200000,137460000
Brazil,1016160000,1270980000,1127460000,1070280000,1036380000,868080000,915060000,1008060000,1088640000,1388940000,1080960000,1390320000,1678920000,1542660000,1588680000,1571880000,1642140000,1691040000,1770600000,1822680000,1990020000,2028360000,1712940000,1899060000,-2147483648,-2147483648,2056140000,1855500000,2138220000,-2147483648,33807709056
Burundi,35100000,41280000,38760000,25080000,30480000,31680000,13440000,31740000,22440000,24540000,26640000,18180000,17340000,28560000,20340000,22260000,16860000,21360000,15060000,17340000,18420000,13080000,23520000,11700000,15120000,13800000,12240000,10140000,12120000,17580000,646200000
Cameroon,156660000,105120000,98760000,42300000,32760000,24420000,33840000,82080000,44760000,69240000,72300000,67500000,38400000,48840000,44040000,42240000,44340000,43260000,31620000,37080000,47640000,29400000,37320000,16320000,22500000,23400000,16860000,14700000,17220000,15000000,1399920000
Central African Republic,11820000,8460000,6000000,8220000,8220000,13920000,5880000,12180000,6120000,11700000,12180000,5640000,5700000,2400000,3840000,2820000,1020000,7320000,1980000,3720000,5700000,4680000,4680000,60000,4500000,2580000,4800000,1080000,2340000,1140000,170700000
Colombia,836640000,755940000,993840000,814080000,706080000,588840000,635280000,655140000,675600000,599700000,550620000,596640000,616380000,614640000,611640000,652260000,656700000,678000000,665100000,473640000,469320000,464040000,430200000,580200000,657240000,762960000,769860000,779100000,768480000,820320000,19878480000
Congo,120000,60000,0,60000,60000,1140000,780000,180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400000
Costa Rica,135960000,144000000,145860000,141840000,126300000,124020000,145800000,125940000,122700000,131700000,117900000,121080000,107040000,102120000,85440000,88800000,78600000,81840000,86400000,74160000,72000000,74580000,82440000,80640000,72540000,67680000,60420000,59220000,72480000,62340000,2991840000
Côte d'Ivoire,256980000,228300000,272760000,241980000,146640000,149640000,165060000,282780000,261900000,144360000,366600000,245700000,195180000,158820000,154380000,105240000,105060000,131760000,89400000,108420000,114720000,46320000,102720000,117720000,89340000,85080000,85920000,51300000,91320000,126240000,4721640000
Cuba,10920000,7260000,9780000,6960000,8160000,7320000,6720000,6420000,9120000,4620000,6780000,6540000,3420000,3000000,1500000,1440000,960000,960000,240000,420000,300000,600000,900000,720000,780000,780000,900000,900000,1980000,1320000,111720000
Democratic Republic of Congo,110340000,85080000,57240000,55200000,45660000,63060000,52920000,32640000,38400000,29220000,16860000,7980000,10740000,12720000,15180000,9480000,8280000,12000000,12180000,9660000,9720000,7920000,8760000,8400000,9060000,7680000,10260000,5340000,11280000,12300000,775560000
Dominican Republic,32100000,28560000,22140000,19860000,19920000,27060000,27180000,18420000,21600000,9660000,9300000,5820000,7020000,9060000,2760000,2520000,7500000,4680000,4920000,6120000,2460000,5340000,8220000,3900000,2700000,1140000,1140000,1440000,1920000,1620000,316080000
Ecuador,107040000,84960000,76380000,95940000,128700000,92400000,92340000,62700000,63360000,59280000,41820000,45360000,33900000,37260000,42240000,59580000,60900000,59460000,52080000,65160000,72120000,91920000,94800000,75720000,67740000,52140000,55380000,41700000,28980000,30360000,1971720000
El Salvador,150600000,128880000,127200000,176820000,125580000,108420000,138840000,166320000,101040000,113400000,152220000,91980000,91980000,78240000,79680000,76800000,77580000,72600000,86280000,78540000,64920000,109560000,62640000,66180000,27720000,34560000,29760000,31620000,34260000,32760000,2716980000
Equatorial Guinea,420000,180000,180000,120000,60000,180000,120000,60000,120000,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000
Ethiopia,64440000,50460000,44040000,70020000,88500000,76560000,110280000,118800000,115020000,109080000,118920000,82560000,123300000,133740000,149460000,146100000,176160000,156240000,171120000,111060000,199440000,160500000,192180000,172200000,187020000,179100000,180060000,226380000,215340000,235260000,4163340000
Gabon,120000,180000,60000,120000,300000,180000,120000,0,120000,120000,60000,120000,0,60000,0,0,60000,0,0,60000,60000,60000,0,0,0,0,0,0,0,0,1800000
