Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_import_consumption
   Austria,80400000,78120000,72720000,80100000,65160000,60720000,64560000,65220000,66300000,67380000,52500000,60780000,55560000,43200000,59760000,46320000,36720000,50820000,54480000,53160000,54180000,67020000,76140000,74940000,68100000,68160000,71580000,69720000,70320000,70380000,1904520000
   Belgium,0,0,0,0,0,0,0,0,0,50040000,67980000,53040000,89040000,94740000,83760000,69480000,92220000,66180000,39000000,56040000,52260000,56040000,54900000,74700000,75540000,64440000,90120000,78000000,81900000,71100000,1460520000
   Belgium/Luxembourg,67440000,42480000,41760000,47340000,57480000,64380000,62340000,53160000,78540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514920000
   Bulgaria,6120000,1020000,10500000,19620000,21180000,23580000,14760000,16500000,19440000,21780000,16500000,21000000,20460000,23820000,21840000,25800000,25200000,21840000,26700000,24540000,23700000,21600000,22560000,25140000,22560000,24360000,27120000,24900000,25560000,25380000,625080000
   Croatia,0,0,8100000,7920000,9840000,17280000,18240000,21660000,19200000,20220000,19620000,20220000,21300000,22500000,22200000,22440000,23160000,23160000,22620000,21960000,22200000,22020000,21600000,23220000,22080000,22500000,22800000,21660000,21600000,22860000,564180000
   Cyprus,1860000,2700000,2340000,4680000,2700000,2580000,3120000,2760000,2760000,3240000,4020000,3180000,3060000,3180000,3600000,4200000,3300000,4140000,4620000,4500000,4440000,4860000,5100000,5340000,4860000,5580000,5580000,5820000,7800000,6900000,122820000
   Czechia,39540000,31500000,28320000,26880000,30540000,30660000,28500000,29100000,31380000,33480000,33600000,37980000,38520000,37380000,36300000,39360000,37860000,40740000,37260000,31500000,28200000,34320000,41100000,38220000,59880000,42480000,48360000,48240000,69480000,50580000,1141260000
   Denmark,51900000,54540000,57540000,53460000,54480000,45480000,53700000,48480000,51240000,52140000,47460000,52080000,48300000,43440000,50940000,47700000,49320000,47640000,41280000,40560000,48360000,45720000,48000000,49320000,44880000,43860000,45180000,43980000,44340000,46680000,1452000000
   Estonia,0,0,780000,2640000,3780000,4980000,5040000,5940000,5400000,5700000,5820000,6420000,6660000,6840000,7740000,8700000,10020000,6060000,9240000,7380000,6300000,4020000,6240000,7200000,7020000,7140000,7260000,6540000,7560000,7380000,175800000
   Finland,64200000,57960000,61800000,67740000,63000000,44100000,54060000,56340000,60060000,58740000,58020000,56820000,58200000,57960000,62040000,66120000,62820000,63420000,66900000,63480000,64800000,65580000,64920000,65700000,61800000,66600000,68820000,63720000,66360000,80880000,1872960000
   France,312300000,333420000,336840000,330420000,306660000,318780000,330720000,329220000,321060000,334680000,324120000,315180000,331560000,323640000,295740000,287220000,316680000,337680000,309120000,340620000,342780000,357720000,347400000,342420000,357240000,335460000,322500000,333000000,359160000,371520000,9904860000
   Germany,436740000,742620000,574200000,679500000,492840000,673860000,635640000,580200000,598560000,584880000,526200000,543540000,509880000,569940000,626700000,519900000,549060000,517620000,572100000,533820000,557520000,567600000,529800000,562680000,520920000,505260000,514980000,513300000,507660000,520200000,16767720000
   Greece,37860000,23220000,19200000,8880000,21360000,22980000,42900000,44340000,40080000,38460000,41220000,32880000,49620000,55740000,52260000,52200000,51420000,60900000,58680000,58440000,59640000,61380000,64560000,66060000,65280000,62940000,83160000,45360000,63540000,68340000,1452900000
   Hungary,34440000,22800000,20880000,33420000,43440000,26820000,34260000,36120000,39120000,39420000,37980000,38820000,38220000,38760000,42480000,34200000,35880000,31320000,29640000,26700000,22560000,10800000,15120000,10620000,24000000,24240000,22260000,24480000,26880000,25080000,890760000
   Ireland,7200000,6780000,5460000,6420000,7620000,6420000,5220000,5820000,5520000,8100000,4980000,8760000,8160000,9060000,13500000,13380000,12180000,14640000,6900000,8040000,9600000,10740000,12840000,11760000,15420000,17580000,19080000,17460000,22200000,22200000,323040000
   Italy,289920000,255240000,247920000,293280000,286440000,278640000,286560000,294780000,296160000,295140000,308940000,314580000,310920000,330420000,328140000,333120000,335580000,349260000,353520000,348360000,346860000,341340000,342600000,338040000,351660000,339600000,359880000,336600000,357300000,328140000,9578940000
   Latvia,0,0,1140000,2460000,360000,840000,3000000,7200000,8040000,9960000,9720000,9000000,8700000,9540000,9300000,8640000,10860000,7860000,6900000,5280000,5940000,6060000,6060000,5700000,6600000,6360000,6660000,7080000,5880000,6840000,181980000
   Lithuania,0,0,120000,540000,2220000,4080000,3960000,6480000,8100000,9480000,10380000,12240000,12480000,10380000,11820000,11580000,12780000,13800000,12240000,12600000,13380000,10800000,11580000,11820000,13380000,12720000,14520000,14400000,15720000,15060000,288660000
   Luxembourg,0,0,0,0,0,0,0,0,0,3660000,8640000,7980000,10320000,11400000,13260000,13620000,13980000,15060000,14340000,13320000,13920000,12900000,12720000,14460000,15300000,13320000,13380000,12660000,15360000,13440000,263040000
   Malta,1200000,780000,960000,1320000,720000,1260000,540000,540000,420000,540000,540000,540000,540000,660000,960000,960000,1740000,960000,1380000,840000,720000,960000,1260000,1320000,1500000,900000,1080000,960000,1140000,1380000,28620000
   Netherlands,142980000,149280000,195660000,163140000,127320000,137580000,150540000,142020000,117660000,88260000,111600000,100620000,94440000,104580000,118680000,115620000,127740000,137520000,79440000,53880000,80820000,54540000,82920000,97500000,108000000,101760000,124740000,117840000,128700000,121800000,3477180000
   Poland,20100000,14580000,99000000,92700000,104520000,98220000,105300000,117960000,117900000,119100000,122760000,133320000,132060000,134520000,136860000,136020000,119580000,93240000,100860000,120060000,129360000,122040000,116160000,100140000,69000000,85200000,118500000,134460000,146160000,150060000,3289740000
   Portugal,28020000,26880000,34380000,31740000,40380000,37920000,36900000,36180000,41760000,44220000,38760000,44700000,43200000,39420000,45780000,44640000,46080000,46140000,44820000,43860000,48720000,51540000,49680000,50400000,51180000,46980000,52020000,50640000,52380000,55860000,1305180000
   Romania,26520000,20100000,36060000,25200000,20820000,33000000,41760000,37800000,35040000,30420000,33060000,37980000,44280000,45300000,49080000,51420000,50100000,49440000,48420000,46500000,47760000,48120000,50940000,53460000,54780000,58920000,64320000,66180000,67200000,66480000,1340460000
   Slovakia,0,0,0,16560000,14040000,13380000,14640000,14040000,14460000,14940000,15780000,17040000,16500000,17100000,16980000,17580000,16860000,21360000,20460000,12780000,20220000,23280000,12060000,19680000,29880000,16020000,13560000,9120000,16680000,13620000,448620000
   Slovenia,0,0,6900000,8880000,9120000,8400000,9840000,9660000,9720000,10260000,10380000,10980000,11280000,10020000,11100000,10860000,10560000,11700000,11640000,11880000,12300000,12480000,11100000,11040000,11220000,11280000,11580000,11400000,13080000,12240000,300900000
   Spain,162840000,159060000,182700000,163680000,166440000,163920000,174060000,178620000,179760000,199440000,179460000,167700000,169980000,164400000,162300000,180420000,181020000,191880000,209100000,201120000,193920000,188940000,206100000,194040000,221760000,211440000,206220000,189060000,185700000,195180000,5530260000
   Sweden,101340000,96240000,98040000,97080000,100140000,72240000,77880000,74460000,74880000,76740000,70380000,75060000,73440000,70680000,74040000,70200000,78900000,74640000,76320000,67980000,73260000,67500000,69540000,70500000,99120000,97380000,107880000,103560000,100980000,106140000,2496540000
Japan,303600000,348540000,307920000,344400000,358380000,366960000,350280000,358080000,363120000,376380000,397560000,416160000,412500000,406200000,427020000,427680000,436080000,436920000,423900000,427800000,431520000,420900000,427860000,446100000,449640000,461700000,472320000,464520000,470040000,453060000,12187140000
Norway,43620000,45480000,44160000,41400000,48000000,39420000,42780000,40500000,42120000,47100000,39420000,42600000,41520000,40980000,42540000,44580000,43260000,46260000,42900000,42900000,44760000,47100000,43380000,45780000,43740000,47280000,46920000,46860000,44040000,46260000,1317660000
