Country,Coffee type,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,Total_production
Angola,Robusta/Arabica,3000000.0,4740000.0,4680000.0,1980000.0,4620000.0,3720000.0,4260000.0,3840000.0,5100000.0,3300000.0,3000000.0,1260000.0,3420000.0,2280000.0,900000.0,1500000.0,2100000.0,2160000.0,2280000.0,780000.0,2100000.0,1740000.0,1980000.0,2100000.0,2340000.0,2460000.0,2700000.0,2100000.0,2520000.0,3120000.0,82080000.0
Bolivia (Plurinational State of),Arabica,7380000.0,6240000.0,7200000.0,3060000.0,7020000.0,8520000.0,7500000.0,8460000.0,8280000.0,9480000.0,8880000.0,5640000.0,7620000.0,6180000.0,9300000.0,6600000.0,8760000.0,6960000.0,7200000.0,7680000.0,7020000.0,7920000.0,6300000.0,7200000.0,6000000.0,5040000.0,4680000.0,5040000.0,4980000.0,4860000.0,207000000.0
Brazil,Arabica/Robusta,1637160000.0,1637580000.0,2076180000.0,1690020000.0,1691520000.0,1083600000.0,1751820000.0,1568880000.0,2205660000.0,2854680000.0,1878600000.0,1881900000.0,2901120000.0,1732380000.0,2356860000.0,1975980000.0,2905920000.0,2334660000.0,3089460000.0,2638620000.0,3325680000.0,2915520000.0,3325080000.0,3281340000.0,3198300000.0,3172260000.0,3407280000.0,3164400000.0,3907860000.0,3492660000.0,75082980000.0
Burundi,Arabica/Robusta,29220000.0,40020000.0,37200000.0,23580000.0,39840000.0,26040000.0,24060000.0,15000000.0,29520000.0,21060000.0,29220000.0,8640000.0,27240000.0,20280000.0,26220000.0,6180000.0,29880000.0,7980000.0,24720000.0,6720000.0,21180000.0,12240000.0,24360000.0,9780000.0,14880000.0,16140000.0,11760000.0,12120000.0,12240000.0,16320000.0,623640000.0
Ecuador,Arabica/Robusta,90240000.0,127440000.0,71100000.0,124140000.0,142560000.0,113280000.0,119580000.0,71460000.0,72360000.0,71880000.0,51240000.0,47580000.0,34920000.0,38460000.0,46800000.0,56100000.0,62100000.0,57000000.0,46260000.0,48780000.0,51240000.0,49500000.0,49680000.0,39960000.0,38640000.0,38640000.0,38700000.0,37440000.0,29760000.0,33540000.0,1900380000.0
Indonesia,Robusta/Arabica,446460000.0,509580000.0,334140000.0,404580000.0,322080000.0,274380000.0,493260000.0,457260000.0,437760000.0,393420000.0,419220000.0,409980000.0,403860000.0,384240000.0,452160000.0,549540000.0,448980000.0,466620000.0,576720000.0,682800000.0,547740000.0,413340000.0,784200000.0,774060000.0,656760000.0,755100000.0,692460000.0,651120000.0,577080000.0,685980000.0,15404880000.0
Madagascar,Robusta,58920000.0,55980000.0,67320000.0,26520000.0,38460000.0,47100000.0,50940000.0,37440000.0,59520000.0,25620000.0,21720000.0,8820000.0,26700000.0,26100000.0,31320000.0,35940000.0,35220000.0,36840000.0,43680000.0,27420000.0,31800000.0,35100000.0,30000000.0,35040000.0,30060000.0,24840000.0,27180000.0,24240000.0,22740000.0,22980000.0,1045560000.0
Malawi,Arabica,6300000.0,7440000.0,8220000.0,3720000.0,5040000.0,5460000.0,2940000.0,3660000.0,3840000.0,3540000.0,3780000.0,3600000.0,2520000.0,2880000.0,1260000.0,1440000.0,1020000.0,1140000.0,1260000.0,1020000.0,1020000.0,1560000.0,1380000.0,1680000.0,1500000.0,1260000.0,1200000.0,840000.0,780000.0,960000.0,82260000.0
Papua New Guinea,Arabica/Robusta,57780000.0,44820000.0,54000000.0,61140000.0,68340000.0,60120000.0,65340000.0,64440000.0,81120000.0,83220000.0,62460000.0,63780000.0,65100000.0,69300000.0,59880000.0,76080000.0,48420000.0,58080000.0,61680000.0,62280000.0,52020000.0,84840000.0,42960000.0,50100000.0,47880000.0,42720000.0,70260000.0,44040000.0,55800000.0,45120000.0,1803120000.0
Paraguay,Arabica,7860000.0,4800000.0,3240000.0,4020000.0,1500000.0,1560000.0,1860000.0,2940000.0,1920000.0,1140000.0,1320000.0,1320000.0,2160000.0,2820000.0,2280000.0,2640000.0,2100000.0,2340000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,1200000.0,62220000.0
Peru,Arabica,56220000.0,72000000.0,105720000.0,39900000.0,70740000.0,112260000.0,108360000.0,115800000.0,126120000.0,164640000.0,160560000.0,169740000.0,180000000.0,161160000.0,205500000.0,149340000.0,259140000.0,183780000.0,232320000.0,197160000.0,244140000.0,322380000.0,267000000.0,246360000.0,172980000.0,198240000.0,253380000.0,256740000.0,255780000.0,230160000.0,5317620000.0
Rwanda,Arabica,32100000.0,29040000.0,38340000.0,26640000.0,1320000.0,19740000.0,17580000.0,11580000.0,13380000.0,18420000.0,16380000.0,17760000.0,19200000.0,15960000.0,27000000.0,20220000.0,21060000.0,13440000.0,22140000.0,15540000.0,19380000.0,15060000.0,15540000.0,15480000.0,14280000.0,17580000.0,13860000.0,15840000.0,22800000.0,20880000.0,567540000.0
Timor-Leste,Arabica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420000.0,1980000.0,2220000.0,2520000.0,1020000.0,1440000.0,2760000.0,2160000.0,2880000.0,2820000.0,3600000.0,2820000.0,3660000.0,4800000.0,6660000.0,3540000.0,4920000.0,3900000.0,8340000.0,6180000.0,68640000.0
Zimbabwe,Arabica,15120000.0,12060000.0,4680000.0,720000.0,6360000.0,7860000.0,10440000.0,7800000.0,8940000.0,7500000.0,6540000.0,7260000.0,6600000.0,5520000.0,7200000.0,3960000.0,2700000.0,1860000.0,1440000.0,1260000.0,600000.0,540000.0,420000.0,540000.0,900000.0,840000.0,900000.0,420000.0,600000.0,540000.0,132120000.0
Congo,Robusta,180000.0,180000.0,180000.0,180000.0,480000.0,720000.0,840000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0,6900000.0
Cuba,Arabica,24840000.0,18120000.0,17040000.0,17100000.0,17040000.0,17100000.0,21960000.0,18000000.0,16800000.0,19680000.0,18720000.0,17100000.0,14340000.0,13440000.0,10800000.0,6000000.0,6300000.0,6600000.0,7980000.0,5520000.0,6480000.0,6000000.0,5280000.0,6420000.0,6060000.0,6000000.0,6180000.0,6780000.0,7680000.0,7800000.0,359160000.0
Dominican Republic,Arabica/Robusta,52800000.0,19260000.0,38280000.0,36240000.0,43800000.0,53160000.0,31140000.0,56460000.0,29220000.0,36420000.0,28020000.0,23220000.0,27300000.0,21060000.0,29460000.0,18600000.0,23220000.0,27900000.0,38700000.0,21120000.0,22680000.0,29460000.0,29280000.0,25500000.0,23820000.0,24000000.0,24720000.0,24720000.0,25860000.0,24120000.0,909540000.0
Haiti,Arabica,23580000.0,27780000.0,30000000.0,27060000.0,27000000.0,30840000.0,25680000.0,25920000.0,26340000.0,23940000.0,25200000.0,24180000.0,22440000.0,22440000.0,21900000.0,21360000.0,21720000.0,21540000.0,21540000.0,21060000.0,21000000.0,20940000.0,21000000.0,20700000.0,20580000.0,20460000.0,20520000.0,20520000.0,20820000.0,20820000.0,698880000.0
Philippines,Robusta/Arabica,58440000.0,61080000.0,55200000.0,52500000.0,52620000.0,51000000.0,53400000.0,56100000.0,40620000.0,37320000.0,20460000.0,15780000.0,15300000.0,17580000.0,21300000.0,25920000.0,26460000.0,26760000.0,35220000.0,43800000.0,11340000.0,10800000.0,10620000.0,11160000.0,11580000.0,12480000.0,12900000.0,12180000.0,12360000.0,18420000.0,890700000.0
Tanzania,Arabica/Robusta,55920000.0,47400000.0,47160000.0,44040000.0,40740000.0,53820000.0,45840000.0,37440000.0,44340000.0,50520000.0,48540000.0,37440000.0,49440000.0,36720000.0,45780000.0,48240000.0,49320000.0,48600000.0,71160000.0,40500000.0,50760000.0,38460000.0,69060000.0,48660000.0,45180000.0,55800000.0,50760000.0,46980000.0,70500000.0,55560000.0,1474680000.0
Zambia,Arabica,1380000.0,1740000.0,1740000.0,1620000.0,1260000.0,1560000.0,1980000.0,2280000.0,3720000.0,3540000.0,5580000.0,6000000.0,7140000.0,6000000.0,6600000.0,6180000.0,3360000.0,3660000.0,2100000.0,1680000.0,780000.0,660000.0,300000.0,660000.0,180000.0,240000.0,780000.0,1140000.0,2040000.0,900000.0,76800000.0
Cameroon,Robusta/Arabica,100920000.0,103560000.0,15600000.0,40980000.0,24360000.0,39600000.0,85920000.0,53340000.0,66840000.0,82200000.0,66780000.0,41160000.0,48060000.0,54000000.0,43620000.0,52200000.0,49080000.0,47700000.0,43500000.0,54120000.0,31620000.0,40140000.0,22260000.0,24240000.0,28980000.0,23460000.0,17520000.0,22200000.0,18600000.0,16080000.0,1358640000.0
Central African Republic,Robusta,10500000.0,7500000.0,8040000.0,9960000.0,15000000.0,6480000.0,12480000.0,6840000.0,12900000.0,14460000.0,6780000.0,4080000.0,5520000.0,2580000.0,1740000.0,1380000.0,6840000.0,2580000.0,3600000.0,6720000.0,4680000.0,5460000.0,1380000.0,5400000.0,3780000.0,6000000.0,2220000.0,3600000.0,2220000.0,3300000.0,184020000.0
Colombia,Arabica,863760000.0,1078800000.0,896820000.0,685320000.0,777840000.0,776280000.0,646740000.0,727320000.0,652080000.0,570720000.0,631140000.0,717000000.0,702720000.0,663180000.0,685740000.0,717120000.0,729840000.0,750900000.0,519840000.0,485880000.0,511380000.0,459180000.0,595620000.0,727440000.0,799980000.0,840540000.0,878040000.0,829440000.0,831960000.0,846000000.0,21598620000.0
Costa Rica,Arabica,153720000.0,165600000.0,179880000.0,141540000.0,148920000.0,170640000.0,133320000.0,157020000.0,146700000.0,149100000.0,145140000.0,134820000.0,122580000.0,113160000.0,112560000.0,99180000.0,102360000.0,107820000.0,90000000.0,88620000.0,96840000.0,109860000.0,109380000.0,93120000.0,88500000.0,86400000.0,82320000.0,93660000.0,85620000.0,88320000.0,3596700000.0
Côte d'Ivoire,Robusta,176400000.0,247740000.0,134760000.0,137580000.0,180360000.0,151920000.0,291540000.0,249840000.0,119520000.0,379200000.0,290760000.0,215760000.0,180600000.0,178860000.0,128160000.0,125940000.0,170880000.0,80280000.0,151560000.0,119340000.0,50220000.0,132960000.0,119640000.0,155880000.0,103680000.0,77340000.0,67020000.0,97440000.0,130500000.0,115740000.0,4761420000.0
Democratic Republic of Congo,Robusta/Arabica,94800000.0,73800000.0,70800000.0,58800000.0,77880000.0,65880000.0,47700000.0,48660000.0,44280000.0,28620000.0,21780000.0,25380000.0,20280000.0,27060000.0,21600000.0,20160000.0,22680000.0,24960000.0,25320000.0,20760000.0,18300000.0,21420000.0,20040000.0,20820000.0,20100000.0,22260000.0,16740000.0,22920000.0,23820000.0,23460000.0,1051080000.0
El Salvador,Arabica,147900000.0,131880000.0,180060000.0,142680000.0,137580000.0,155100000.0,152040000.0,130500000.0,123300000.0,155880000.0,102240000.0,101640000.0,81660000.0,82800000.0,71820000.0,79140000.0,74040000.0,90300000.0,87000000.0,64500000.0,112380000.0,69840000.0,74400000.0,30900000.0,39900000.0,33900000.0,36600000.0,45600000.0,45660000.0,39660000.0,2820900000.0
Equatorial Guinea,Robusta,240000.0,180000.0,120000.0,0.0,180000.0,120000.0,60000.0,120000.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080000.0
Ethiopia,Arabica,174540000.0,175500000.0,109500000.0,178020000.0,165780000.0,189900000.0,204420000.0,183420000.0,175680000.0,227040000.0,186900000.0,242640000.0,245640000.0,263640000.0,312780000.0,286740000.0,333060000.0,358020000.0,296940000.0,409800000.0,333600000.0,339000000.0,367920000.0,374520000.0,382980000.0,390900000.0,428580000.0,440820000.0,450660000.0,440580000.0,8669520000.0
Gabon,Robusta,180000.0,120000.0,180000.0,180000.0,480000.0,120000.0,60000.0,180000.0,240000.0,120000.0,0.0,60000.0,60000.0,0.0,0.0,60000.0,60000.0,60000.0,120000.0,0.0,120000.0,60000.0,60000.0,0.0,60000.0,60000.0,0.0,0.0,60000.0,0.0,2700000.0
Ghana,Robusta,2280000.0,4560000.0,2220000.0,2700000.0,3420000.0,3420000.0,1920000.0,1620000.0,3240000.0,5340000.0,4560000.0,420000.0,2040000.0,1080000.0,1080000.0,720000.0,1200000.0,2100000.0,1560000.0,1140000.0,4140000.0,1800000.0,1260000.0,1500000.0,2100000.0,2160000.0,1560000.0,780000.0,900000.0,840000.0,63660000.0
Guatemala,Arabica/Robusta,196260000.0,209820000.0,259080000.0,212160000.0,227220000.0,240120000.0,271500000.0,253140000.0,293580000.0,307200000.0,296400000.0,220140000.0,244200000.0,216600000.0,222180000.0,220560000.0,237000000.0,246000000.0,227100000.0,230100000.0,237000000.0,231000000.0,225780000.0,191340000.0,198600000.0,204600000.0,221040000.0,224040000.0,240420000.0,216360000.0,7020540000.0
Guinea,Robusta,2640000.0,5460000.0,4560000.0,3840000.0,11880000.0,6240000.0,8880000.0,10320000.0,25260000.0,21840000.0,24000000.0,14160000.0,19680000.0,21960000.0,18960000.0,31500000.0,28380000.0,19380000.0,30300000.0,29940000.0,23160000.0,23160000.0,14040000.0,6060000.0,9900000.0,17160000.0,16200000.0,13740000.0,9180000.0,10680000.0,482460000.0
Guyana,Robusta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360000.0,300000.0,180000.0,300000.0,300000.0,300000.0,360000.0,420000.0,480000.0,540000.0,600000.0,540000.0,540000.0,600000.0,600000.0,780000.0,540000.0,660000.0,600000.0,600000.0,600000.0,600000.0,10800000.0
Honduras,Arabica,94080000.0,139320000.0,115080000.0,109740000.0,130860000.0,114540000.0,120240000.0,153840000.0,131700000.0,179100000.0,160020000.0,182160000.0,149760000.0,178080000.0,154500000.0,192240000.0,207660000.0,218400000.0,207000000.0,216180000.0,259860000.0,352920000.0,281160000.0,274980000.0,316080000.0,347160000.0,447420000.0,453600000.0,429180000.0,355860000.0,6672720000.0
India,Robusta/Arabica,169740000.0,180000000.0,169380000.0,211980000.0,180120000.0,240720000.0,205020000.0,246540000.0,265020000.0,292020000.0,301200000.0,288600000.0,275280000.0,282480000.0,275460000.0,273960000.0,270000000.0,262020000.0,244320000.0,289620000.0,336000000.0,320040000.0,324180000.0,304500000.0,327000000.0,349800000.0,369660000.0,348780000.0,319500000.0,299280000.0,8222220000.0
Jamaica,Arabica,1380000.0,2340000.0,1560000.0,2040000.0,2700000.0,2580000.0,3240000.0,2820000.0,1740000.0,2280000.0,2220000.0,1860000.0,2220000.0,2220000.0,1260000.0,2040000.0,2400000.0,1200000.0,1920000.0,1500000.0,1260000.0,1440000.0,1440000.0,1200000.0,1260000.0,1200000.0,1080000.0,1140000.0,1080000.0,1380000.0,54000000.0
Kenya,Arabica,89100000.0,90840000.0,78960000.0,79680000.0,99780000.0,99840000.0,74820000.0,52920000.0,70380000.0,90120000.0,60120000.0,59460000.0,56700000.0,40380000.0,44160000.0,39600000.0,49560000.0,39120000.0,32460000.0,37800000.0,38460000.0,45420000.0,52500000.0,50580000.0,46200000.0,47940000.0,47580000.0,47400000.0,55800000.0,50640000.0,1768320000.0
Lao People's Democratic Republic,Robusta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10260000.0,14340000.0,12720000.0,15480000.0,24120000.0,21660000.0,22740000.0,16800000.0,23460000.0,23580000.0,24360000.0,26040000.0,32640000.0,30840000.0,32460000.0,32640000.0,33120000.0,32100000.0,30600000.0,31980000.0,38820000.0,37320000.0,568080000.0
Liberia,Robusta,180000.0,180000.0,180000.0,300000.0,300000.0,300000.0,300000.0,300000.0,1080000.0,720000.0,720000.0,720000.0,720000.0,300000.0,360000.0,300000.0,420000.0,420000.0,720000.0,780000.0,600000.0,600000.0,600000.0,360000.0,420000.0,600000.0,720000.0,960000.0,360000.0,360000.0,14880000.0
Mexico,Arabica/Robusta,280440000.0,283620000.0,204060000.0,301380000.0,249540000.0,318000000.0,306600000.0,288120000.0,288060000.0,373140000.0,288900000.0,266280000.0,261060000.0,252060000.0,232020000.0,253500000.0,252000000.0,249000000.0,279060000.0,246540000.0,240060000.0,273660000.0,259620000.0,234960000.0,218160000.0,166320000.0,218100000.0,269100000.0,261060000.0,239100000.0,7853520000.0
Nepal,Arabica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,60000.0,60000.0,120000.0,60000.0,60000.0,60000.0,180000.0,120000.0,60000.0,60000.0,120000.0,120000.0,60000.0,120000.0,60000.0,60000.0,1440000.0
Nicaragua,Arabica,27660000.0,42420000.0,32820000.0,42360000.0,40980000.0,59100000.0,47580000.0,65040000.0,64380000.0,93240000.0,94320000.0,64740000.0,70200000.0,90540000.0,64080000.0,85920000.0,85680000.0,114360000.0,86700000.0,112260000.0,98280000.0,131580000.0,112380000.0,123600000.0,113880000.0,127800000.0,153300000.0,158520000.0,172740000.0,172920000.0,2749380000.0
Nigeria,Robusta,1740000.0,2640000.0,2940000.0,2700000.0,3120000.0,3180000.0,2760000.0,2700000.0,3180000.0,2700000.0,2940000.0,2640000.0,3000000.0,2760000.0,2700000.0,4140000.0,3060000.0,2520000.0,3000000.0,2040000.0,2520000.0,2820000.0,2460000.0,2460000.0,2580000.0,2460000.0,2580000.0,2520000.0,2520000.0,2520000.0,81900000.0
Panama,Arabica,12900000.0,11580000.0,11820000.0,8520000.0,14880000.0,12540000.0,12660000.0,13020000.0,11520000.0,9960000.0,10200000.0,9600000.0,8400000.0,10320000.0,5400000.0,10560000.0,10380000.0,10560000.0,8940000.0,8280000.0,6840000.0,6360000.0,6960000.0,6780000.0,6360000.0,7620000.0,7200000.0,6300000.0,7680000.0,6840000.0,280980000.0
