Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_re_export
   Austria,24900000,45360000,57600000,32100000,22860000,13740000,9780000,13320000,12600000,23880000,24540000,26400000,31680000,37200000,32580000,48360000,59460000,67200000,59520000,24900000,27780000,21900000,18240000,18660000,23160000,22680000,18480000,18480000,15420000,16440000,869220000
   Belgium,0,0,0,0,0,0,0,0,0,130140000,141420000,139440000,138480000,134280000,154320000,174300000,184020000,174660000,368520000,298860000,303180000,293640000,285240000,255420000,237180000,267600000,273000000,262620000,262620000,300840000,4779780000
   Belgium/Luxembourg,53460000,62280000,67860000,76440000,78240000,79680000,89220000,99480000,136200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742860000
   Bulgaria,9960000,10980000,420000,4200000,6600000,7320000,1560000,1140000,1080000,240000,360000,300000,180000,180000,180000,660000,840000,1740000,4320000,6840000,7980000,7320000,11040000,11460000,14640000,16500000,19620000,17520000,18720000,21720000,205620000
   Croatia,0,0,2040000,1860000,1800000,1920000,1020000,1440000,1140000,900000,1020000,900000,960000,1020000,1080000,1080000,1080000,1620000,1680000,1680000,1440000,1440000,1440000,1560000,3060000,3780000,5940000,4680000,5160000,5160000,57900000
   Cyprus,960000,420000,240000,120000,60000,60000,60000,60000,60000,120000,60000,240000,240000,360000,420000,540000,1080000,120000,0,0,120000,0,60000,120000,480000,180000,240000,120000,60000,1380000,7980000
   Czechia,0,0,180000,3960000,2700000,2520000,3000000,4560000,14460000,10200000,14940000,15960000,14760000,21060000,19440000,24420000,18540000,21480000,24960000,24300000,28860000,22800000,26460000,32760000,49500000,81540000,58380000,42180000,44760000,45960000,674640000
   Denmark,5640000,4440000,6180000,6180000,7500000,7140000,6660000,8460000,9600000,13500000,13860000,14100000,16260000,16680000,16260000,11940000,10920000,12060000,12720000,11040000,12480000,8820000,6780000,5940000,6300000,6540000,9120000,7200000,7680000,7800000,289800000
   Estonia,0,0,180000,420000,1200000,1500000,1980000,2520000,2700000,2160000,480000,3240000,540000,1140000,2820000,4560000,5220000,10560000,10860000,14040000,9480000,6000000,3180000,2160000,840000,420000,780000,1500000,1260000,1500000,93240000
   Finland,1140000,1260000,2100000,11880000,13020000,5820000,10320000,12300000,11160000,12900000,10320000,8880000,7140000,7320000,7740000,3240000,7260000,9000000,10200000,11100000,11580000,11640000,9360000,10860000,10980000,12660000,14520000,17880000,10740000,10080000,284400000
   France,54780000,60420000,61380000,58560000,69900000,64860000,70920000,69960000,71580000,68460000,64380000,76020000,75840000,79680000,62400000,61680000,57420000,54060000,57840000,60840000,63600000,62580000,61140000,60840000,65820000,72540000,77880000,90840000,98940000,108720000,2063880000
   Germany,197520000,195120000,199080000,196920000,208140000,193200000,216780000,236100000,243780000,238320000,289500000,320640000,377280000,391080000,420660000,501360000,550620000,641820000,628260000,649140000,692520000,700980000,755400000,721200000,774660000,749760000,798780000,816000000,826200000,828060000,14558880000
   Greece,660000,1200000,1740000,13620000,8760000,8340000,3060000,3000000,2220000,5520000,6660000,19200000,4260000,4140000,4260000,3600000,2460000,3960000,4680000,4320000,4080000,7920000,10080000,10140000,8760000,9660000,11820000,6660000,6060000,6420000,187260000
   Hungary,0,15660000,10440000,6660000,2820000,4320000,1920000,4380000,3780000,6300000,9420000,11160000,11400000,13080000,16200000,16920000,18180000,22260000,19020000,15540000,21060000,27600000,29760000,22860000,26040000,18660000,21300000,18780000,19920000,21300000,436740000
   Ireland,600000,300000,240000,180000,180000,480000,660000,540000,600000,420000,4320000,2040000,2040000,4500000,2160000,1800000,3120000,1020000,960000,480000,480000,1800000,2220000,2280000,2160000,3900000,5100000,8220000,4140000,4140000,61080000
   Italy,22980000,24120000,27900000,39840000,47160000,44940000,49560000,49560000,56760000,61380000,69360000,77400000,80460000,84600000,93540000,102480000,116280000,131280000,136620000,136320000,146760000,159780000,177840000,190980000,208140000,220140000,251580000,265020000,279540000,326280000,3678600000
   Latvia,0,0,60000,1080000,1020000,900000,960000,1440000,1500000,1020000,1140000,360000,1140000,1620000,1980000,2820000,2400000,1200000,2340000,2640000,2340000,2400000,3360000,3960000,6180000,5700000,7200000,6660000,8700000,7260000,79380000
   Lithuania,0,0,0,0,600000,2700000,4980000,4740000,3000000,2880000,2340000,3780000,3300000,2880000,3540000,5400000,6180000,6300000,11220000,12060000,9180000,6540000,8580000,9900000,10380000,12960000,15420000,11520000,10800000,13320000,184500000
   Luxembourg,0,0,0,0,0,0,0,0,0,5040000,5280000,4560000,4800000,5940000,5700000,6240000,6120000,6540000,6780000,6480000,7020000,6660000,6660000,8220000,9480000,9240000,10260000,10140000,10680000,10740000,152580000
   Malta,60000,180000,120000,60000,120000,60000,0,60000,240000,0,0,0,60000,0,0,0,0,0,0,0,0,60000,0,0,0,60000,60000,0,0,0,1140000
   Netherlands,35100000,37980000,38880000,25500000,40680000,37020000,34500000,33420000,54060000,65640000,66360000,67020000,71160000,85980000,70860000,63660000,69840000,74340000,58860000,96240000,74160000,106140000,80820000,106860000,132960000,148800000,162120000,186240000,202560000,199440000,2527200000
